SERIAL NUMBER,Do you agree to take part in this interview? ,Age (in years) ,Gender ,Education ,Residence Status ,Employment status ,Household financial situation,Years lived in this community,How often do you worry about the following?  [Being robbed in your home ],How often do you worry about the following?  [Being robbed or attacked on the street near your home ],"In the last month, how often have you [Avoided going out during daytime because of fear ]","In the last month, how often have you [Avoided going out at night because of fear ]","In the last month, how often have you [Avoided certain streets or routes ]", How likely do you think the following will happen to you in the next 12 months?  [Your house will be broken into ], How likely do you think the following will happen to you in the next 12 months?  [You will be robbed or attacked in the street ],How safe do you feel ?  [Inside your home at night ],How safe do you feel ?  [?On the street near your home at night ],To what extent do you agree? [The police do a good job of keeping people safe ],To what extent do you agree? [?The police treat people fairly ],To what extent do you agree? [?I can rely on the police when there is a problem ],To what extent do you agree? [The local vigilante or community guards keep people safe ],"In the past 12 months, has anyone attempted to break into your home, or successfully burgled your home? ","If Yes, how many times did this happen in the past 12 months? 
?",Have you or anyone in your household had something stolen,"if yes, how many times did this happen in the past 12 months","In the past 12 months, have you been physically attacked or assaulted? 
?","If Yes, how many times did this happen in the past 12 months? ",Has a close friend or family member experienced any of these in the last 12 months? ,"If Yes, how many times did this happen in the past 12 months?  2",How often do you hear about crime happening to people you know? ,Did you report the most recent incident to any authority or security actor? ,Who did you report it to? (Tick all that apply) ,"If you did not report it, why? (Tick all that apply) ",How much of a problem are the following in your community?  [Poor street lighting ],How much of a problem are the following in your community?  [Abandoned or unfinished buildings ],How much of a problem are the following in your community?  [Groups of young men hanging around],How much of a problem are the following in your community?  [Open drainage or flooding],Agreement level on community trust:  [People in this community can be trusted],Agreement level on community trust:  [People here are willing to help each other ],"Agreement level on community trust:  [?If there is trouble, people will intervene]",Street Name 2,Is there a functioning streetlight near the respondent’s house?,Is there a shop or commercial outlet attached to the respondent’s house? ,Type of street ,Is there a footpath beside or behind the respondent’s house linking to another street? ,Are most houses on this street fenced? ,General condition of buildings on this street ,Visible signs of disorder (tick all that apply) ,Presence of informal security structures,Proximity (within ~200m) to key activity nodes (tick all that apply) ,Overall activity level on the street at the time of interview 
id,consent,age,gender,education,residence,employment,income,years_resident,worry_home,worry_street,avoid_day,avoid_night,avoid_route,risk_home,risk_street,safe_home,safe_street,police_safe,police_fair,police_rely,vigilante_safe,burglary,burglary_count,theft,theft_count,assault,assault_count,vicarious_victim,vicarious_count,crime_heard,reported,reported_to,nonreport_reason,light_prob,building_prob,gang_prob,drainage_prob,trust_neigh,help_neigh,intervene,street_name_obs,streetlight_obs,shop_attached,street_type,footpath,fenced,building_cond,disorder_obs,informal_security,activity_node,activity_level
432,Yes,60,Male,Secondary,Tenant,Self-Employed,Just getting by,26,1,1,2,3,1,1,1,5,5,1,2,1,4,No,,No,,No,,No,,Rarely,,,,4,1,1,4,5,4,3,NA,No,Yes,Residential Area,Yes,Yes,Fair,Open drainage,Community gate,Bus stop/motor park,Moderate
433,Yes,48,Female,Secondary,Tenant,Self-Employed,Comfortable,40,1,1,4,3,4,3,4,1,1,5,4,3,5,No,,No,,No,,No,,Rarely,,,,2,1,1,4,2,3,2,NA,Yes,Not sure,Residential Area,Yes,No,Poor,Open drainage,None,None,Quiet
434,Yes,47,Female,Secondary,Tenant,Self-Employed,Comfortable,20,1,3,3,4,1,1,1,5,5,2,1,2,4,No,,No,,No,,No,,Rarely,,,,4,1,1,4,4,4,4,NA,No,Yes,Residential Area,Yes,Yes,Fair,Litter,Community gate,Bus stop/motor park,Busy
435,Yes,31,Female,Secondary,Tenant,Self-Employed,Comfortable,20,3,2,1,1,1,1,1,5,5,2,1,2,4,No,,No,,No,,No,,Rarely,,,,4,1,1,4,4,3,4,NA,No,Yes,Residential Area,Yes,Yes,Fair,Litter,Community gate,Bus stop/motor park,Moderate
436,Yes,30,Male,Tertiary,Tenant,Self-Employed,Comfortable,4,1,1,1,1,1,1,1,1,1,2,1,2,3,No,,No,,No,,No,,Rarely,,,,4,1,1,4,4,3,4,NA,No,No,Residential Area,Yes,Yes,Fair,Abandoned/ Uncompleted Building,None,Bars/viewing centres,Quiet
437,Yes,50,Male,Tertiary,Tenant,Self-Employed,Comfortable,15,1,1,1,1,1,1,1,5,5,1,2,1,4,No,,No,,No,,No,,Rarely,,,,4,1,1,1,4,5,4,NA,No,Yes,Residential Area,Yes,Mixed,Fair,Litter,"Community gate, Vigilante Post",Bus stop/motor park,Very Busy
438,Yes,38,Female,Tertiary,Tenant,Self-Employed,Comfortable,6,3,4,3,2,1,1,1,3,4,1,1,2,2,No,,No,,No,,No,,Rarely,,,,4,1,1,1,1,2,1,NA,No,No,Residential Area,No,Mixed,Fair,Litter,Community gate,Bus stop/motor park,Busy
439,Yes,27,Female,Secondary,Tenant,Self-Employed,Just getting by,5,4,4,1,1,2,3,2,5,5,1,1,2,1,No,,No,,No,,No,,Rarely,,,,3,1,1,2,1,2,1,NA,No,Yes,Residential Area,Yes,Yes,Fair,Open drainage,Community gate,Bus stop/motor park,Busy
440,Yes,50,Female,Tertiary,Tenant,Self-Employed,Comfortable,15,1,2,2,1,1,1,1,5,5,1,2,1,4,No,,No,,No,,No,,Rarely,,,,4,1,1,1,3,2,4,NA,No,No,Residential Area,No,Yes,Fair,"Litter, Open drainage",Community gate,Bus stop/motor park,Busy
441,Yes,31,Male,Tertiary,Tenant,Self-Employed,Comfortable,3,1,1,3,2,1,1,1,5,5,1,2,1,1,No,,No,,No,,No,,Rarely,,,,4,1,1,1,1,2,1,NA,No,No,Residential Area,Yes,Yes,Fair,Open drainage,Community gate,Bus stop/motor park,Busy
442,Yes,39,Female,None,Tenant,Self-Employed,Comfortable,1,1,1,1,1,1,1,1,5,5,1,2,2,4,No,,No,,No,,No,,Rarely,,,,4,1,1,1,2,3,1,NA,No,No,Residential Area,Yes,No,Fair,Open drainage,Community gate,Bus stop/motor park,Moderate
443,Yes,20,Male,Secondary,Tenant,Self-Employed,Comfortable,20,1,1,1,1,1,1,1,5,5,5,4,3,4,No,,No,,No,,No,,Rarely,,,,4,1,1,1,5,4,5,NA,No,No,Close,No,No,Good,Open drainage,Community gate,Bus stop/motor park,Busy
444,Yes,20,Female,Secondary,Tenant,Self-Employed,Comfortable,20,1,2,1,2,1,1,1,5,5,1,2,1,2,No,,No,,No,,No,,Rarely,,,,4,1,1,1,3,2,2,NA,No,Yes,Major Road,Yes,Yes,Fair,Open drainage,None,Bus stop/motor park,Moderate
445,Yes,31,Female,Tertiary,Tenant,Employed,Comfortable,1,1,1,1,1,2,1,1,5,5,1,2,1,1,No,,No,,No,,No,,Rarely,,,,4,1,1,1,2,3,2,NA,No,Yes,Major Road,Yes,Yes,Fair,"Litter, Open drainage",None,Bus stop/motor park,Busy
446,Yes,42,Male,Primary,Tenant,Self-Employed,Comfortable,25,1,1,1,1,1,1,1,5,5,1,2,1,4,No,,No,,No,,No,,Rarely,,,,1,1,1,1,3,4,3,NA,Yes,No,Close,No,Yes,Fair,Litter,Community gate,Bus stop/motor park,Moderate
447,Yes,35,Male,None,Tenant,Self-Employed,Comfortable,10,1,1,2,1,1,1,1,5,5,1,2,1,2,No,,No,,No,,No,,Rarely,,,,3,1,1,1,1,2,1,NA,Not sure,No,Major Road,Yes,Yes,Fair,Litter,Community gate,Bus stop/motor park,Busy
448,Yes,36,Male,Secondary,Tenant,Self-Employed,Just getting by,7,1,1,1,1,2,1,1,5,5,3,2,3,4,No,,No,,No,,No,,Rarely,,,,4,1,1,1,3,2,2,NA,Not sure,No,Residential Area,No,Yes,Fair,Open drainage,Community gate,Bus stop/motor park,Busy
449,Yes,60,Female,Secondary,Landlord,Self-Employed,Comfortable,40,1,1,2,1,2,1,1,5,5,1,2,1,4,No,,No,,No,,No,,Rarely,,,,4,1,1,1,2,3,2,NA,No,Yes,Residential Area,Yes,No,Fair,Open drainage,Community gate,Bus stop/motor park,Busy
450,Yes,25,Male,None,Tenant,Self-Employed,Comfortable,25,4,1,1,1,1,1,1,5,5,2,1,2,1,No,,No,,No,,No,,Rarely,,,,4,1,1,1,3,2,3,NA,No,Yes,Residential Area,Yes,Yes,Fair,Open drainage,Community gate,Bus stop/motor park,Busy
451,Yes,70,Male,Secondary,Tenant,Self-Employed,Comfortable,40,1,1,1,1,1,1,1,5,5,1,2,1,3,No,,No,,No,,No,,Rarely,,,,4,1,1,1,1,3,2,NA,No,No,Residential Area,Yes,Mixed,Fair,Open drainage,Community gate,Bus stop/motor park,Busy
452,Yes,43,Male,Secondary,Tenant,Self-Employed,Comfortable,25,1,1,1,4,1,1,1,5,5,2,1,2,3,No,,No,,No,,No,,Rarely,,,,4,1,1,1,2,1,2,NA,No,Yes,Residential Area,Yes,Yes,Fair,Open drainage,None,Bus stop/motor park,Moderate
453,Yes,53,Female,Secondary,Tenant,Self-Employed,Comfortable,4,2,1,1,1,1,1,1,5,5,1,2,1,5,No,,No,,No,,No,,Rarely,,,,3,1,1,1,1,1,1,NA,No,Yes,Major Road,Yes,Yes,Good,Open drainage,None,Bus stop/motor park,Very Busy
454,Yes,33,Female,Secondary,Tenant,Self-Employed,Comfortable,2,1,1,1,1,1,1,1,5,5,2,1,2,3,No,,No,,No,,No,,Rarely,,,,4,1,1,1,3,4,3,NA,No,Yes,Major Road,No,No,Good,Open drainage,None,Bus stop/motor park,Busy
455,Yes,24,Male,Secondary,Tenant,Self-Employed,Comfortable,5,1,1,1,1,1,1,1,5,5,3,1,4,4,No,,No,,No,,No,,Rarely,,,,4,1,1,1,3,4,4,NA,No,Yes,Major Road,No,Yes,Good,Open drainage,None,Bus stop/motor park,Very Busy
456,Yes,40,Male,Secondary,Tenant,Self-Employed,Comfortable,2,1,1,1,1,1,1,1,5,5,3,2,3,4,No,,No,,No,,No,,Rarely,,,,4,1,1,1,4,3,4,NA,No,Yes,Residential Area,Yes,Yes,Fair,Open drainage,None,Bus stop/motor park,Very Busy
457,Yes,60,Male,Tertiary,Landlord,Self-Employed,Comfortable,10,1,1,1,1,1,1,1,5,5,4,3,3,4,No,,No,,No,,No,,Rarely,,,,4,1,1,1,4,5,4,NA,Yes,Yes,Major Road,Yes,No,Fair,Open drainage,None,Bus stop/motor park,Busy
458,Yes,45,Male,Primary,Tenant,Self-Employed,Just getting by,1,1,1,1,1,1,1,1,5,5,4,3,4,5,No,,No,,No,,No,,Rarely,,,,1,1,1,1,1,2,3,NA,No,Yes,Residential Area,Yes,No,Fair,Open drainage,Community gate,Bus stop/motor park,Very Busy
459,Yes,41,Male,Primary,Tenant,Self-Employed,Comfortable,5,1,1,1,1,1,1,1,5,5,1,2,1,1,No,,No,,No,,No,,Rarely,,,,4,1,1,1,1,2,1,NA,No,Yes,Major Road,No,No,Fair,Litter,None,Bus stop/motor park,Very Busy
460,Yes,38,Male,Secondary,Tenant,Self-Employed,Comfortable,2,1,1,1,1,1,1,1,5,5,2,2,1,1,No,,No,,No,,No,,Rarely,,,,4,1,1,1,5,4,5,NA,No,Yes,Major Road,No,No,Fair,Open drainage,None,None,Busy
461,Yes,50,Female,Primary,Tenant,Self-Employed,Comfortable,50,2,3,1,1,1,1,1,5,5,2,1,2,4,No,,No,,No,,No,,Rarely,,,,4,1,1,1,1,3,2,NA,No,Yes,Residential Area,Yes,Mixed,Fair,"Litter, Open drainage",Community gate,Bus stop/motor park,Busy
462,Yes,44,Female,Tertiary,Tenant,Self-Employed,Comfortable,2,1,1,1,1,1,1,1,5,5,1,2,1,1,No,,No,,No,,No,,Rarely,,,,4,1,1,1,1,2,1,NA,No,Yes,Major Road,No,Yes,Good,Open drainage,None,Bus stop/motor park,Very Busy
463,Yes,71,Male,Secondary,Tenant,Self-Employed,Comfortable,40,1,1,2,1,2,1,1,5,5,4,3,2,4,No,,No,,No,,No,,Rarely,,,,4,1,1,1,4,3,4,NA,No,Yes,Major Road,Yes,Yes,Good,Open drainage,None,"Major market, Bus stop/motor park",Very Busy
464,Yes,30,Female,Tertiary,Landlord,Self-Employed,Comfortable,30,1,1,2,1,2,1,1,5,5,4,3,2,4,No,,No,,No,,No,,Rarely,,,,4,1,1,1,4,5,4,NA,No,Yes,Major Road,Yes,Yes,Good,Open drainage,None,"Major market, Bus stop/motor park",Very Busy
465,Yes,26,Female,Secondary,Tenant,Self-Employed,Comfortable,7,1,1,1,1,1,1,1,5,5,4,4,3,3,No,,No,,No,,No,,Rarely,,,,4,1,1,1,1,2,1,NA,No,Yes,Residential Area,Yes,Yes,Fair,"Litter, Open drainage",None,"Major market, Bus stop/motor park",Busy
466,Yes,51,Male,Secondary,Tenant,Self-Employed,Comfortable,20,1,1,1,1,1,1,1,5,5,3,4,3,4,No,,No,,No,,No,,Rarely,,,,4,1,1,1,1,3,2,NA,No,Yes,Residential Area,Yes,Mixed,Fair,"Litter, Open drainage",None,"Major market, Bus stop/motor park",Busy
467,Yes,40,Female,Tertiary,Tenant,Self-Employed,Comfortable,6,1,1,1,1,1,1,1,5,5,1,2,1,4,No,,No,,No,,No,,Rarely,,,,4,1,1,1,5,4,4,NA,Yes,No,Major Road,No,Mixed,Fair,"Litter, Open drainage",Community gate,Bus stop/motor park,Busy
468,Yes,30,Male,Tertiary,Tenant,Self-Employed,Comfortable,16,1,1,1,1,1,1,1,5,5,3,2,4,1,No,,No,,No,,No,,Rarely,,,,4,1,1,1,5,4,3,NA,No,Yes,Major Road,Yes,Yes,Fair,Litter,None,Bus stop/motor park,Busy
469,Yes,23,Female,Tertiary,Tenant,Self-Employed,Comfortable,2,1,1,1,1,1,1,1,5,5,2,3,2,1,No,,No,,No,,No,,Rarely,,,,1,1,1,1,2,3,4,NA,Yes,No,Residential Area,No,Mixed,Good,Open drainage,None,Bus stop/motor park,Busy
470,Yes,49,Male,Secondary,Tenant,Self-Employed,Comfortable,40,2,3,1,1,1,1,1,5,5,4,3,4,3,No,,No,,No,,No,,Rarely,,,,1,1,1,1,5,4,4,NA,Yes,No,Residential Area,Yes,Mixed,Fair,Open drainage,Community gate,Bus stop/motor park,Busy
471,Yes,48,Male,Tertiary,Landlord,Employed,Comfortable,42,1,1,1,1,1,1,1,5,5,4,3,4,1,No,,No,,No,,No,,Rarely,,,,4,1,1,1,2,3,2,NA,No,Yes,Residential Area,Yes,Mixed,Fair,"Litter, Open drainage",None,Bus stop/motor park,Busy
472,Yes,55,Male,Tertiary,Landlord,Self-Employed,Comfortable,30,3,4,5,4,2,1,1,5,5,2,1,2,1,No,,No,,No,,No,,Rarely,,,,4,1,1,3,2,2,1,NA,No,No,Major Road,Yes,Mixed,Good,Open drainage,None,Bus stop/motor park,Very Busy
473,Yes,40,Female,Secondary,Tenant,Self-Employed,Comfortable,35,3,4,1,1,1,2,3,5,5,2,1,1,1,No,,No,,No,,No,,Rarely,,,,4,1,1,1,2,3,2,NA,No,Yes,Major Road,Yes,No,Fair,Open drainage,None,Bus stop/motor park,Busy
474,Yes,51,Male,Tertiary,Tenant,Self-Employed,Just getting by,10,2,3,2,3,1,2,1,3,3,1,2,1,1,No,,No,,No,,No,,Rarely,,,,4,1,1,1,3,4,4,NA,No,No,Major Road,Yes,Mixed,Fair,Open drainage,None,Bus stop/motor park,Busy
475,Yes,48,Female,Secondary,Tenant,Employed,Just getting by,13,1,1,2,4,1,1,1,5,5,5,4,4,4,No,,No,,No,,No,,Rarely,,,,4,1,1,1,1,2,1,NA,No,No,Close,No,Mixed,Fair,Open drainage,None,Bus stop/motor park,Busy
476,Yes,60,Female,Tertiary,Tenant,Self-Employed,Comfortable,10,4,4,2,5,3,1,4,4,1,1,1,4,4,No,,No,,No,,No,,Rarely,,,,4,1,1,1,3,2,2,NA,No,Yes,Residential Area,Yes,Mixed,Fair,Open drainage,Community gate,Bus stop/motor park,Busy
477,Yes,68,Male,Tertiary,Tenant,Employed,Just getting by,7,1,1,1,3,1,1,1,5,5,1,2,1,3,No,,No,,No,,No,,Rarely,,,,3,1,1,1,3,4,4,NA,Yes,No,Major Road,No,Mixed,Good,"Litter, Open drainage",None,Bus stop/motor park,Very Busy
478,Yes,55,Female,Secondary,Tenant,Self-Employed,Just getting by,9,2,3,1,1,2,1,1,5,5,1,2,1,1,No,,No,,No,,No,,Rarely,,,,4,1,1,1,3,4,4,NA,Yes,Yes,Residential Area,Yes,Mixed,Fair,Open drainage,None,Bus stop/motor park,Busy
479,Yes,65,Female,Primary,Tenant,Self-Employed,Comfortable,4,1,1,1,1,1,1,1,5,5,1,2,1,1,No,,No,,No,,No,,Rarely,,,,4,1,1,1,1,2,1,NA,No,Yes,Residential Area,Yes,Mixed,Fair,"Litter, Open drainage",Community gate,Bus stop/motor park,Moderate
480,Yes,74,Male,Secondary,Tenant,Self-Employed,Comfortable,45,1,1,1,1,1,1,1,5,5,3,2,2,4,No,,No,,No,,No,,Rarely,,,,2,1,1,1,5,4,3,NA,No,No,Residential Area,Yes,Mixed,Fair,"Litter, Open drainage",Community gate,Major Market,Busy
481,Yes,60,Male,Tertiary,Tenant,Employed,Comfortable,20,1,1,1,1,1,1,1,5,5,2,1,2,1,No,,No,,No,,No,,Rarely,,,,4,1,1,1,3,2,3,NA,No,No,Major Road,No,No,Fair,None,None,Major Market,Very Busy
482,Yes,50,Female,Secondary,Tenant,Self-Employed,Comfortable,10,1,1,1,1,1,1,1,5,5,4,3,2,1,No,,No,,No,,No,,Rarely,,,,4,1,1,1,1,2,1,NA,No,Yes,Residential Area,Yes,Mixed,Fair,"Litter, Open drainage",None,Bus stop/motor park,Busy
483,Yes,40,Male,Secondary,Tenant,Self-Employed,Comfortable,10,1,1,1,1,1,1,1,5,5,1,2,1,4,No,,No,,No,,No,,Rarely,,,,1,1,1,1,5,4,4,NA,Yes,No,Residential Area,Yes,Mixed,Fair,Open drainage,None,Bus stop/motor park,Busy
484,Yes,25,Male,Secondary,Tenant,Employed,Just getting by,1,2,2,1,3,1,2,2,4,4,3,2,2,3,No,,No,,No,,No,,Rarely,,,,1,1,4,2,4,4,3,NA,Yes,No,Residential Area,Yes,Mixed,Fair,Open drainage,None,Bus stop/motor park,Busy
485,Yes,26,Female,Tertiary,Tenant,Employed,Comfortable,3,1,1,1,1,1,1,1,2,2,1,1,1,3,No,,No,,No,,No,,Rarely,,,,1,1,1,1,4,4,4,NA,No,No,Footpath,Yes,Yes,Good,Litter,Community gate,None,Moderate
486,Yes,56,Female,Tertiary,Tenant,Employed,Comfortable,40,1,1,2,2,2,2,2,4,4,5,5,5,5,No,,No,,No,,No,,Rarely,,,,3,1,1,1,4,4,4,NA,No,Yes,Residential Area,Yes,Mixed,Good,Open drainage,Community gate,None,Moderate
487,Yes,39,Male,Secondary,Tenant,Self-Employed,Just getting by,20,1,1,1,1,1,1,1,4,4,4,4,4,1,No,,No,,No,,No,,Rarely,,,,2,1,1,1,4,4,4,NA,No,No,Residential Area,Yes,Mixed,Fair,Open drainage,Community gate,None,Quiet
488,Yes,51,Male,Secondary,Tenant,Self-Employed,Just getting by,40,1,1,1,1,1,1,1,4,4,5,5,5,1,No,,No,,No,,No,,Rarely,,,,1,1,1,1,4,4,4,NA,No,Yes,Residential Area,Yes,Mixed,Fair,Litter,None,Bus stop/motor park,Busy
489,Yes,27,Male,None,Tenant,Self-Employed,Just getting by,18,1,1,2,2,2,1,1,4,4,4,4,4,4,No,,No,,No,,No,,Rarely,,,,2,1,1,1,3,3,3,NA,Not sure,Yes,Residential Area,Yes,Mixed,Fair,"Litter, Open drainage",None,Bars/viewing centres,Moderate
490,Yes,47,Female,Tertiary,Tenant,Self-Employed,Just getting by,30,1,1,1,1,1,1,1,4,4,4,4,4,4,No,,No,,No,,No,,Rarely,,,,1,1,1,1,1,1,1,NA,Not sure,Yes,Residential Area,Yes,Mixed,Fair,"Litter, Open drainage",Community gate,Bars/viewing centres,Moderate
491,Yes,62,Male,Tertiary,Tenant,Unemployed,Just getting by,40,1,1,1,1,1,1,1,4,4,2,2,2,4,No,,No,,No,,No,,Rarely,,,,1,3,1,1,4,4,4,NA,Yes,Yes,Major Road,Yes,Mixed,Fair,None,None,Bus stop/motor park,Busy
492,Yes,40,Female,Tertiary,Tenant,Self-Employed,Just getting by,30,1,1,1,1,1,2,2,4,4,4,4,4,4,No,,No,,No,,No,,Rarely,,,,1,1,1,1,3,2,1,NA,Yes,Yes,Residential Area,Yes,Mixed,Fair,"Litter, Open drainage",None,Bus stop/motor park,Busy
493,Yes,35,Male,Tertiary,Tenant,Employed,Comfortable,10,1,1,1,1,1,1,1,4,4,3,3,3,4,No,,No,,No,,No,,Rarely,,,,2,2,2,2,4,4,4,NA,Not sure,Yes,Residential Area,Yes,Mixed,Fair,"Litter, Open drainage",None,Bus stop/motor park,Busy
494,Yes,55,Female,Secondary,Tenant,Self-Employed,Comfortable,30,1,1,1,1,1,1,1,4,4,3,3,3,4,No,,No,,No,,No,,Rarely,,,,1,1,1,1,4,4,4,NA,Not sure,Yes,Residential Area,Yes,Mixed,Fair,"Litter, Open drainage",None,Bus stop/motor park,Busy
495,Yes,20,Female,Secondary,Tenant,Unemployed,Just getting by,14,1,1,1,1,4,2,2,5,5,2,2,2,4,No,,No,,Yes,Once,No,,Rarely,,,,1,1,1,1,4,4,4,NA,No,No,Footpath,Yes,Mixed,Good,None,Community gate,None,Moderate
496,Yes,36,Male,Tertiary,Tenant,Employed,Just getting by,17,1,1,1,1,1,1,1,4,4,4,4,4,4,No,,No,,No,,No,,Rarely,,,,4,1,1,1,4,4,4,NA,No,No,Footpath,Yes,Yes,Good,None,Community gate,None,Moderate
497,Yes,70,Male,Primary,Tenant,Unemployed,Just getting by,40,1,1,1,1,1,1,1,4,4,1,1,1,4,No,,No,,No,,No,,Rarely,,,,1,1,4,1,4,4,4,NA,No,No,Alleyway,Yes,Yes,Good,Litter,Community gate,None,Moderate
498,Yes,27,Female,Secondary,Tenant,Unemployed,Struggling,27,1,1,1,1,1,2,2,2,4,1,1,1,3,No,,No,,No,,No,,Rarely,,,,2,2,2,2,4,4,4,NA,No,No,Alleyway,Yes,Yes,Good,Abandoned/ Uncompleted Building,Community gate,None,Moderate
499,Yes,35,Male,Primary,Tenant,Self-Employed,Just getting by,20,1,1,1,1,1,2,2,4,4,4,4,4,4,No,,No,,No,,No,,Rarely,,,,4,1,1,1,4,4,4,NA,No,Yes,Residential Area,Yes,Yes,Good,"Litter, Open drainage",None,Bus stop/motor park,Moderate
500,Yes,45,Male,Tertiary,Tenant,Employed,Comfortable,20,1,1,1,1,1,1,1,3,4,4,4,4,4,No,,No,,No,,No,,Rarely,,,,4,4,3,4,1,1,1,NA,No,No,Close,No,Mixed,Fair,"Litter, Open drainage",None,Bus stop/motor park,Busy
501,Yes,60,Male,Secondary,Tenant,Self-Employed,Comfortable,45,1,1,1,1,1,1,1,5,5,4,4,4,1,No,,No,,No,,No,,Rarely,,,,4,1,1,1,4,4,4,NA,No,No,Close,No,Mixed,Fair,"Litter, Open drainage",None,Bus stop/motor park,Busy
502,Yes,78,Female,Secondary,Landlord,Self-Employed,Comfortable,50,1,1,1,1,1,1,1,4,4,2,2,2,3,No,,No,,No,,No,,Rarely,,,,2,1,1,1,4,4,4,NA,No,Yes,Residential Area,Yes,Mixed,Good,Open drainage,Community gate,Bus stop/motor park,Moderate
503,Yes,24,Female,Tertiary,Tenant,Student,Just getting by,24,1,1,1,1,1,1,1,4,4,4,4,4,4,No,,No,,No,,No,,Rarely,,,,1,1,1,1,4,4,4,NA,No,No,Close,Yes,Mixed,Fair,"Litter, Open drainage",None,None,Moderate
504,Yes,37,Male,Tertiary,Tenant,Unemployed,Struggling,15,1,1,1,1,1,1,1,4,4,4,4,4,4,No,,No,,No,,No,,Rarely,,,,1,1,1,1,4,4,4,NA,No,No,Close,Yes,Mixed,Fair,"Litter, Open drainage",None,None,Moderate
505,Yes,30,Female,Tertiary,Tenant,Self-Employed,Comfortable,30,1,1,1,1,1,2,2,4,4,1,1,1,4,No,,No,,No,,No,,Rarely,,,,1,1,1,1,4,4,1,NA,Yes,Yes,Alleyway,Yes,Yes,Fair,"Litter, Open drainage",Community gate,None,Moderate
506,Yes,41,Female,Secondary,Landlord,Self-Employed,Just getting by,20,1,1,1,1,1,1,1,5,5,1,1,1,3,No,,No,, No,,No,,Sometimes,,,,3,1,1,1,1,1,1,NA, No,Yes,Residential Area,No,No,Poor,Litter,None,None,Quiet
507,Yes,27,Male,Tertiary,Tenant,Unemployed,Struggling,3,1,1,1,1,1,1,1,5,5,5,5,5,1,No,,No,, No,,No,,Rarely,,,,1,1,1,1,5,5,5,NA, No,Yes,Residential Area,No,Mixed,Fair,Open drainage,None,None,Quiet
508,Yes,38,Female,Secondary,Tenant,Self-Employed,Struggling,2,1,1,1,1,1,1,1,5,5,2,2,2,4,No,,No,, No,,No,,Rarely,,,,1,1,2,2,3,3,3,NA,Yes,No,Residential Area,Yes,Mixed,Fair,Open drainage,None,Bus stop/motor park,Moderate
509,Yes,27,Female,Secondary,Tenant,Self-Employed,Just getting by,15,2,1,1,1,1,1,1,5,5,3,3,3,3,No,,No,, No,,No,,Sometimes,,,,3,1,1,1,4,3,5,NA,No,Yes,Residential Area, No,No,Fair,Open drainage,None,Major market,Moderate
510,Yes,35,Other,Tertiary,Landlord,Unemployed,Struggling,8,1,1,5,5,1,1,1,1,1,1,5,1,5,No,,No,, No,,No,,Sometimes,,,,1,1,1,1,1,5,1,NA,No,Yes,Residential Area, No,No,Fair,Litter,None,Major market,Moderate
511,Yes,46,Female,Tertiary,Tenant,Self-Employed,Just getting by,9,1,1,1,1,1,1,1,5,5,2,2,2,4,No,,No,, No,,No,,Sometimes,,,,1,1,1,1,3,3,3,NA,No,Yes,Residential Area,Not sure,No,Good,Open drainage,None,Bus stop/motor park,Very Quiet
512,Yes,25,Female,Tertiary,Tenant,Student,Struggling,5,1,1,1,1,1,1,1,4,4,1,1,1,4,No,,No,, No,,No,,Rarely,,,,1,1,1,3,4,4,4,NA,No,Yes,Residential Area,Not sure,No,Good,Open drainage,None,Bus stop/motor park,Very Quiet
513,Yes,26,Male,Secondary,Tenant,Unemployed,Struggling,1,1,1,1,1,1,1,1,5,5,2,2,2,1,No,,No,, No,,No,,Rarely,,,,1,1,1,3,4,4,4,NA,No,Yes,Residential Area,No,No,Poor,"Litter, Open drainage",None,None,Moderate
514,Yes,44,Male,Secondary,Tenant,Self-Employed,Struggling,16,1,1,1,1,1,1,1,5,5,3,3,3,5,No,,No,, No,,No,,Rarely,,,,1,1,1,1,1,1,1,NA,Yes,No,Residential Area,No,Mixed,Good,None,None,None,Quiet
515,Yes,39,Male,Secondary,Tenant,Self-Employed,Just getting by,6,1,1,1,1,1,1,1,5,5,5,5,5,2,No,,No,, No,,No,,Rarely,,,,1,1,1,1,5,5,5,NA,Yes,No,Residential Area,No,Mixed,Good,None,None,None,Quiet
516,Yes,36,Female,Secondary,Tenant,Self-Employed,Just getting by,7,1,1,1,1,1,1,1,5,5,1,1,1,1,No,,No,, No,,No,,Sometimes,,,,1,1,1,1,1,1,1,NA,Not sure,No,Residential Area,Yes,No,Fair,Open drainage,None,None,Quiet
517,Yes,27,Male,Secondary,Tenant,Self-Employed,Comfortable,27,1,1,1,1,1,2,2,4,4,1,1,1,2,No,,No,, No,,No,,Sometimes,,,,4,3,1,2,5,5,5,NA,Yes,No,Residential Area,Yes,No,Poor,Open drainage,Community gate,None,Quiet
518,Yes,29,Male,Tertiary,Tenant,Self-Employed,Just getting by,8,1,1,1,1,1,1,1,3,3,1,1,1,2,No,,No,, No,,No,,Never,,,,3,4,1,2,5,5,5,NA,No,Yes,Residential Area,No,Mixed,Fair,Open drainage,Community gate,Bars/viewing centres,Quiet
